rocket,payloads,launchpad,cores,flight_number,date_utc,date,BoosterVersion,FlightNumber
5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,"{'core': '5e9e28a4f359185cc03b2651', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",50,2017-10-30T19:34:00.000Z,30-10-2017,Falcon 9,41
5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,"{'core': '5e9e28a3f3591856803b264a', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",51,2017-12-15T15:36:00.000Z,15-12-2017,Falcon 9,42
5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,"{'core': '5e9e28a3f3591801cf3b264b', 'flight': 2, 'gridfins': True, 'legs': False, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'Ocean', 'landpad': None}",52,2017-12-23T01:27:23.000Z,23-12-2017,Falcon 9,43
5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,"{'core': '5e9e28a4f35918345e3b2652', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",53,2018-01-08T01:00:00.000Z,08-01-2018,Falcon 9,44
5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,"{'core': '5e9e28a3f3591811f83b2648', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'Ocean', 'landpad': None}",54,2018-01-31T21:25:00.000Z,31-01-2018,Falcon 9,45
5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,"{'core': '5e9e28a5f359186cb73b2654', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",57,2018-03-06T05:33:00.000Z,06-03-2018,Falcon 9,46
5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,"{'core': '5e9e28a4f3591843103b2650', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",58,2018-03-30T14:13:51.000Z,30-03-2018,Falcon 9,47
5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,"{'core': '5e9e28a4f3591884ee3b264d', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",59,2018-04-02T20:30:41.000Z,02-04-2018,Falcon 9,48
5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,"{'core': '5e9e28a5f35918863d3b2655', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",60,2018-04-18T22:51:00.000Z,18-04-2018,Falcon 9,49
5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,"{'core': '5e9e28a5f359182b023b2656', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",61,2018-05-11T20:14:00.000Z,11-05-2018,Falcon 9,50
