Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
44,KSC,Koreasat 5A,"3,500 kg (7,700 lb)",GTO,KT Corporation,Success,F9 B4B1042.1[219],Success(drone ship),30,October
45,Cape Canaveral,SpaceX CRS-13,"2,205 kg (4,861 lb)",LEO,NASA,Success,F9 FT♺B1035.2[227],Success(ground pad),15,December
46,VAFB,Iridium NEXT,"9,600 kg (21,200 lb)",Polar,Iridium Communications,Success,F9 FT♺B1036.2[227],Controlled(ocean)[d][230],23,December
47,CCAFS,Zuma,Classified,LEO,Northrop Grumman,Success,F9 B4B1043.1[238],Success(ground pad),8,January
48,CCAFS,GovSat-1,"4,230 kg (9,330 lb)[247]",GTO,SES,Success,F9 FT♺B1032.2[245],Controlled(ocean)[d][248],31,January
49,VAFB,Paz,"2,150 kg (4,740 lb)",SSO,Hisdesat,Success,F9 FT♺B1038.2[268],No attempt[271],22,February
50,CCAFS,Hispasat 30W-6,"6,092 kg (13,431 lb)[279]",GTO,Hispasat,Success,F9 B4B1044.1[108],No attempt[281],6,March
51,VAFB,Iridium NEXT,"9,600 kg (21,200 lb)",Polar,Iridium Communications,Success,F9 B4♺B1041.2[268],No attempt[287],30,March
52,CCAFS,SpaceX CRS-14,"2,647 kg (5,836 lb)[292]",LEO,NASA,Success,F9 B4♺B1039.2[292],No attempt[294],2,April
53,CCAFS,Transiting Exoplanet Survey Satellite,362 kg (798 lb)[305],HEO,NASA,Success,F9 B4B1045.1[268],Success[306](drone ship),18,April
54,KSC,Bangabandhu-1,"3,600 kg (7,900 lb)[314]",GTO,Thales-Alenia,Success,F9 B5[311]B1046.1[268],Success[315](drone ship),11,May
55,VAFB,Iridium NEXT,"6,460 kg (14,240 lb)[g]",Polar,Iridium Communications,Success,F9 B4♺B1043.2[322],No attempt[165],22,May
56,CCAFS,SES-12,"5,384 kg (11,870 lb)[332]",GTO,SES,Success,F9 B4♺B1040.2[268],No attempt[165],4,June
57,CCAFS,SpaceX CRS-15,"2,697 kg (5,946 lb)[337]",LEO,NASA,Success,F9 B4♺B1045.2[336],No attempt[165],29,June
58,CCAFS,Telstar 19V,"7,075 kg (15,598 lb)[342]",GTO,Telesat,Success,F9 B5B1047.1,Success[344](drone ship),22,July
59,VAFB,Iridium NEXT,"9,600 kg (21,200 lb)",Polar,Iridium Communications,Success,F9 B5[349]B1048.1[350],Success[352](drone ship),25,July
60,CCAFS,Merah Putih,"5,800 kg (12,800 lb)[357]",GTO,Telkom Indonesia,Success,F9 B5♺B1046.2[354],Success[358](drone ship),7,August
61,CCAFS,Telstar 18V,"7,060 kg (15,560 lb)[361]",GTO,Telesat,Success,F9 B5B1049.1[268],Success[361](drone ship),10,September
62,VAFB,SAOCOM 1A,"3,000 kg (6,600 lb)[363]",SSO,CONAE,Success,F9 B5♺B1048.2[364],Success[363](ground pad),8,October
63,KSC,Es'hail 2,"5,300 kg (11,700 lb)[369]",GTO,Es'hailSat,Success,F9 B5♺B1047.2[268],Success[370](drone ship),15,November
